family,date,ff_to_iem_beta,iem_to_ff_beta,ff_to_iem_change,iem_to_ff_change,ff_to_iem_pct_change,iem_to_ff_pct_change
51:0302,2002-03-01,0.7440090649966453,0.020066209554504,-0.0005265172654234096,-3.0089379109740633e-05,-0.07071754231325388,-0.1497259729721284
51:0302,2002-03-04,0.7247378962728453,0.020045123730554167,-0.01979768598922338,-5.1175203059573154e-05,-2.659065122055483,-0.25464988965692487
51:0302,2002-03-05,0.7481205402686687,0.02040209059070923,0.0035849580065999698,0.00030579165709548883,0.4815025758349991,1.5216317099265053
51:0302,2002-03-06,0.744273709853816,0.02015038589151693,-0.00026187240825270575,5.4086957903189126e-05,-0.03517258469461966,0.2691389000624462
51:0302,2002-03-07,0.7432363915766095,0.020066209554503896,-0.0012991906854592505,-3.0089379109844716e-05,-0.1744967891946834,-0.1497259729726463
51:0302,2002-03-08,0.7440663966871828,0.020028968632075986,-0.00046918557488595525,-6.733030153775396e-05,-0.06301721315460337,-0.3350383160609492
51:0302,2002-03-11,0.743410039750255,0.02012784842499022,-0.0011255425118137374,3.1549491376479943e-05,-0.1511737704186122,0.15699155093532774
51:0302,2002-03-12,0.7446397381591574,0.020093307726697495,0.00010415589708867579,-2.9912069162453536e-06,0.013989378019009709,-0.014884367147038011
51:0302,2002-03-18,0.7447778981129756,0.020071037773559015,0.00024231585090683794,-2.5261160054725063e-05,0.032545906022466674,-0.12570055878534134
51:0502,2002-04-04,0.7634925584345921,0.019737023103575366,0.018956976172523343,-0.000359275830038374,2.5461477764336973,-1.7877711275355148
51:0502,2002-04-05,0.7505188690438366,0.01942709832484171,0.005983286781767849,-0.000669200608772031,0.8036267069451887,-3.3299694186609843
51:0502,2002-04-08,0.7712060438418896,0.019495666719077806,0.026670461579820892,-0.0006006322145359344,3.582160774477689,-2.9887703030297628
51:0502,2002-04-09,0.7592352776396546,0.020202408367237554,0.014699695377585864,0.000106109433623814,1.9743442392537964,0.5280048529051875
51:0502,2002-04-10,0.7327334371758455,0.019932961059123587,-0.011802145086223237,-0.0001633378744901534,-1.5851687101865073,-0.8127758998297394
51:0502,2002-04-11,0.7457972284332809,0.020230483822818224,0.0012616461712121607,0.00013418488920448335,0.1694541135803063,0.6677094605715743
51:0502,2002-04-12,0.7444620374469249,0.02022826735345745,-7.354481514387778e-05,0.00013196841984370808,-0.009877944976173184,0.6566802189779
51:0502,2002-04-15,0.727054744726613,0.020139095326261763,-0.017480837535455707,4.279639264802293e-05,-2.347884768964962,0.21295658862060543
51:0502,2002-04-16,0.7446896764375769,0.0203175712026356,0.00015409417550815707,0.0002212722690218584,0.020696683836114838,1.101059800875827
51:0502,2002-04-17,0.7474708735496919,0.020074259850747875,0.002935291287623154,-2.203908286586495e-05,0.39424459455719635,-0.10966737178158534
51:0502,2002-04-18,0.7527665574990565,0.019866026004784737,0.008230975236987792,-0.0002302729288290034,1.1055180481744356,-1.1458474497701725
51:0502,2002-04-19,0.7640496920068675,0.020089526579364254,0.019514109744798724,-6.772354249486023e-06,2.6209774535570767,-0.033699509904076705
51:0502,2002-04-22,0.7468053633802516,0.020021725058884842,0.0022697811181828786,-7.457387472889834e-05,0.30485864910401816,-0.37108263056419605
51:0502,2002-04-23,0.7410684227439356,0.020173326504502796,-0.003467159518133145,7.702757088905512e-05,-0.46568083523948234,0.38329232235004346
51:0502,2002-04-24,0.7467109998519402,0.02008743559314511,0.002175417589871498,-8.863340468630299e-06,0.29218450288998726,-0.04410434228665448
51:0502,2002-04-25,0.7420025424664787,0.020034430809458294,-0.002533039795590053,-6.186812415544599e-05,-0.3402174262637792,-0.30785829948002663
51:0502,2002-04-26,0.7442190814796177,0.020010584255795022,-0.00031650078245104574,-8.571467781871844e-05,-0.04250982625832929,-0.4265197193864847
51:0502,2002-04-29,0.7415619275174672,0.020167106746387203,-0.0029736547446015393,7.080781277346224e-05,-0.39939726393826586,0.352342553260027
51:0502,2002-04-30,0.7442236969338747,0.020093065958683647,-0.00031188532819403925,-3.232974930093835e-06,-0.04188991575747939,-0.01608741460690681
51:0502,2002-05-01,0.7427602622193374,0.02012505809409214,-0.0017753200427312876,2.875916047840113e-05,-0.2384466350604038,0.14310675101621623
51:0502,2002-05-02,0.7433417319619158,0.020105281910948302,-0.0011938503001529543,8.982977334561631e-06,-0.1603483202946144,0.044699660192337225
51:0502,2002-05-03,0.7441595102477234,0.020112138504904297,-0.0003760720143453078,1.583957129055666e-05,-0.05051095250581783,0.07881835029863565
51:0502,2002-05-06,0.7485873497532832,0.020068551951736444,0.004051767491214497,-2.774698187729685e-05,0.5442006517545213,-0.13807010917262144
51:0602,2002-05-15,0.7427728005172087,0.02010331988986463,-0.001762781744859998,7.020956250890914e-06,-0.23676259225976354,0.034936563563688974
51:0602,2002-05-16,0.7417194813922706,0.02013943996640036,-0.0028161008697981105,4.314103278662065e-05,-0.378235901263732,0.2146715319528887
51:0602,2002-05-17,0.7445770403098253,0.02009039586864459,4.145804775657069e-05,-5.903064969149663e-06,0.005568309795297049,-0.029373891126171493
